name_scheme,net_asset_value,outstanding_no_of_units,nav_per_unit,sale_price_per_unit,repurchase_price_per_unit,date_valued
Liquid Fund,"39,276,345,403.0400","193,537,944.4000",202.9387,202.9387,202.9387,12-02-2019
Umoja Fund,"215,311,307,414.0500","381,759,062.4000",563.9979,563.9979,558.3579,11-02-2019
Wekeza Maisha Fund,"1,187,013,626.4700","3,108,167.9300",381.9014,381.9014,374.2634,11-02-2019
Watoto Fund,"3,119,199,126.2300","9,490,389.5800",328.6692,328.6692,325.3825,11-02-2019
Jikimu Fund,"20,000,994,203.8900","158,402,475.9000",126.2669,126.2669,123.7416,11-02-2019
Liquid Fund,"39,281,970,717.7300","193,627,055.0700",202.8744,202.8744,202.8744,11-02-2019
Umoja Fund,"215,196,095,439.2200","381,745,246.0900",563.7165,563.7165,558.0793,08-02-2019
Wekeza Maisha Fund,"1,186,071,879.8100","3,108,167.9300",381.5984,381.5984,373.9664,08-02-2019
Watoto Fund,"3,116,806,322.9600","9,489,049.9300",328.4635,328.4635,325.1788,08-02-2019
Jikimu Fund,"19,962,263,990.0900","158,205,842.5500",126.1791,126.1791,123.6555,08-02-2019
Liquid Fund,"39,139,654,227.2100","193,111,212.3000",202.6793,202.6793,202.6793,08-02-2019
Umoja Fund,"215,150,795,412.2100","381,731,752.0900",563.6178,563.6178,557.9816,07-02-2019
Wekeza Maisha Fund,"1,185,697,921.2500","3,108,010.6300",381.4974,381.4974,373.8674,07-02-2019
Watoto Fund,"3,115,640,611.7300","9,488,136.3400",328.3722,328.3722,325.0885,07-02-2019
Jikimu Fund,"19,937,888,024.0200","158,103,309.2400",126.1067,126.1067,123.5846,07-02-2019
Liquid Fund,"39,122,714,368.4800","193,090,624.6400",202.6132,202.6132,202.6132,07-02-2019
Umoja Fund,"215,552,350,122.1200","382,516,625.2200",563.5111,563.5111,557.876,06-02-2019
Wekeza Maisha Fund,"1,188,237,712.0100","3,115,498.1300",381.3957,381.3957,373.7678,06-02-2019
Watoto Fund,"3,116,367,570.0700","9,492,301.8900",328.3047,328.3047,325.0217,06-02-2019
Jikimu Fund,"19,972,060,443.1900","158,405,206.7900",126.0821,126.0821,123.5605,06-02-2019
Liquid Fund,"39,204,368,567.0600","193,556,588.0300",202.5473,202.5473,202.5473,06-02-2019
Umoja Fund,"215,509,904,506.7500","382,510,015.7100",563.4098,563.4098,557.7757,05-02-2019
Wekeza Maisha Fund,"1,187,771,167.6800","3,115,104.6400",381.2941,381.2941,373.6683,05-02-2019
Watoto Fund,"3,114,606,998.0400","9,488,953.2200",328.235,328.235,324.9527,05-02-2019
Jikimu Fund,"19,966,503,314.0400","158,396,435.9500",126.054,126.054,123.5329,05-02-2019
Liquid Fund,"39,108,813,536.2900","193,147,688.2000",202.4814,202.4814,202.4814,05-02-2019
Umoja Fund,"217,590,474,535.4500","382,484,142.6900",568.8876,568.8876,563.1987,04-02-2019
Wekeza Maisha Fund,"1,187,429,591.4000","3,115,038.9900",381.1925,381.1925,373.5687,04-02-2019
Watoto Fund,"3,141,990,309.4700","9,487,346.0200",331.1769,331.1769,327.8652,04-02-2019
Jikimu Fund,"20,037,684,335.8800","158,360,066.2300",126.5324,126.5324,124.0018,04-02-2019
Liquid Fund,"39,092,967,120.3900","193,132,355.7000",202.4154,202.4154,202.4154,04-02-2019
Umoja Fund,"217,464,119,525.0000","382,462,668.9300",568.5891,568.5891,562.9032,01-02-2019
Wekeza Maisha Fund,"1,185,101,973.2500","3,111,419.3400",380.8879,380.8879,373.2701,01-02-2019
Watoto Fund,"3,132,857,009.3200","9,465,591.7000",330.9732,330.9732,327.6635,01-02-2019
Jikimu Fund,"20,020,133,027.5400","158,331,444.3200",126.4445,126.4445,123.9156,01-02-2019
Liquid Fund,"39,027,913,420.3100","192,988,953.7000",202.2287,202.2287,202.2287,01-02-2019
Umoja Fund,"217,422,031,532.9100","382,454,621.3100",568.4911,568.4911,562.8061,31-01-2019
Wekeza Maisha Fund,"1,184,785,505.0100","3,111,419.3400",380.7862,380.7862,373.1705,31-01-2019
Watoto Fund,"3,131,529,236.8700","9,461,985.7200",330.959,330.959,327.6494,31-01-2019
Jikimu Fund,"20,013,638,516.6300","158,317,205.4800",126.4148,126.4148,123.8865,31-01-2019
Liquid Fund,"38,955,798,683.7200","192,690,870.3100",202.1673,202.1673,202.1673,31-01-2019
Umoja Fund,"217,574,823,169.0700","382,813,528.1500",568.3572,568.3572,562.6736,30-01-2019
Wekeza Maisha Fund,"1,199,331,742.1800","3,150,523.0600",380.677,380.677,373.0635,30-01-2019
Watoto Fund,"3,134,242,792.6300","9,472,136.9200",330.8908,330.8908,327.5819,30-01-2019
Jikimu Fund,"20,037,687,196.0200","158,552,490.6800",126.3789,126.3789,123.8513,30-01-2019
Liquid Fund,"38,854,418,581.6000","192,244,194.5000",202.1097,202.1097,202.1097,30-01-2019
Umoja Fund,"217,550,478,104.2000","382,837,035.9600",568.2587,568.2587,562.5761,29-01-2019
Wekeza Maisha Fund,"1,198,840,248.5800","3,150,060.2600",380.5769,380.5769,372.9654,29-01-2019
Watoto Fund,"3,133,443,499.4000","9,470,164.3900",330.8753,330.8753,327.5665,29-01-2019
Jikimu Fund,"20,105,234,998.5400","159,125,218.7500",126.3485,126.3485,123.8215,29-01-2019
Liquid Fund,"38,784,819,841.0900","191,954,665.0700",202.052,202.052,202.052,29-01-2019
Umoja Fund,"217,502,702,462.5000","382,831,917.5200",568.1415,568.1415,562.4601,28-01-2019
Wekeza Maisha Fund,"1,198,189,721.3200","3,149,179.7900",380.4768,380.4768,372.8672,28-01-2019
Watoto Fund,"3,132,096,379.0300","9,468,048.3600",330.807,330.807,327.4989,28-01-2019
Jikimu Fund,"20,096,116,117.2300","159,097,652.3300",126.3131,126.3131,123.7868,28-01-2019
Liquid Fund,"38,898,445,707.7400","192,581,090.6100",201.9848,201.9848,201.9848,28-01-2019
Umoja Fund,"217,374,972,222.9500","382,812,708.4500",567.8364,567.8364,562.158,25-01-2019
Wekeza Maisha Fund,"1,196,998,192.2700","3,148,535.1500",380.1762,380.1762,372.5727,25-01-2019
Watoto Fund,"3,129,816,605.1900","9,467,022.7800",330.602,330.602,327.296,25-01-2019
Jikimu Fund,"20,076,682,724.0900","159,076,886.4000",126.2074,126.2074,123.6833,25-01-2019
Liquid Fund,"39,174,202,403.8300","194,144,699.7000",201.7784,201.7784,201.7784,25-01-2019
Umoja Fund,"217,336,894,453.3900","382,811,815.5000",567.7382,567.7382,562.0608,24-01-2019
Wekeza Maisha Fund,"1,196,662,582.0000","3,148,482.5300",380.076,380.076,372.4745,24-01-2019
Watoto Fund,"3,129,269,169.3000","9,467,326.7300",330.5336,330.5336,327.2282,24-01-2019
Jikimu Fund,"20,062,068,386.5900","159,005,587.4200",126.1721,126.1721,123.6487,24-01-2019
Liquid Fund,"39,091,892,989.2400","193,800,149.7400",201.7124,201.7124,201.7124,24-01-2019
Umoja Fund,"217,340,260,491.2500","382,799,765.5300",567.7649,567.7649,562.0872,23-01-2019
Wekeza Maisha Fund,"1,196,346,948.7300","3,148,482.5300",379.9757,379.9757,372.3762,23-01-2019
Watoto Fund,"3,129,448,854.3900","9,467,296.5500",330.5536,330.5536,327.2481,23-01-2019
Jikimu Fund,"20,058,445,875.1400","158,999,999.2500",126.1537,126.1537,123.6307,23-01-2019
Liquid Fund,"39,028,709,131.7100","193,710,883.5500",201.4792,201.4792,201.4792,23-01-2019
Umoja Fund,"217,907,520,208.6100","382,788,966.9500",569.2628,569.2628,563.5702,22-01-2019
Wekeza Maisha Fund,"1,193,991,639.0500","3,143,112.3300",379.8756,379.8756,372.2781,22-01-2019
Watoto Fund,"3,136,033,749.7600","9,464,494.3600",331.3472,331.3472,328.0337,22-01-2019
Jikimu Fund,"20,073,087,460.1700","158,978,330.3400",126.263,126.263,123.7378,22-01-2019
Liquid Fund,"39,061,376,448.9300","193,782,571.0600",201.5732,201.5732,201.5732,22-01-2019
Umoja Fund,"217,910,690,392.0900","382,875,102.3500",569.143,569.143,563.4516,21-01-2019
Wekeza Maisha Fund,"1,194,054,675.3900","3,144,112.7300",379.7748,379.7748,372.1793,21-01-2019
Watoto Fund,"3,141,802,432.9500","9,483,861.7400",331.2788,331.2788,327.966,21-01-2019
Jikimu Fund,"20,125,119,013.1100","159,436,001.5800",126.2269,126.2269,123.7024,21-01-2019
Liquid Fund,"38,971,054,970.5500","193,409,793.0800",201.4947,201.4947,201.4947,21-01-2019
Umoja Fund,"217,796,018,248.7600","382,870,667.7000",568.8501,568.8501,563.1616,18-01-2019
Wekeza Maisha Fund,"1,193,146,900.6800","3,144,218.2500",379.4733,379.4733,371.8838,18-01-2019
Watoto Fund,"3,139,828,262.2600","9,483,758.9900",331.0742,331.0742,327.7635,18-01-2019
Jikimu Fund,"20,091,813,050.2600","159,419,497.2600",126.0311,126.0311,123.5105,18-01-2019
Liquid Fund,"39,140,650,624.9600","194,479,673.5900",201.2583,201.2583,201.2583,18-01-2019
Umoja Fund,"217,754,785,230.9500","382,863,949.4900",568.7524,568.7524,563.0649,17-01-2019
Wekeza Maisha Fund,"1,192,680,933.4100","3,143,822.8600",379.3728,379.3728,371.7854,17-01-2019
Watoto Fund,"3,138,659,804.3400","9,482,188.0200",331.0059,331.0059,327.6958,17-01-2019
Jikimu Fund,"20,083,562,587.5200","159,398,861.6100",125.9956,125.9956,123.4757,17-01-2019
Liquid Fund,"38,963,190,635.5400","193,673,182.3000",201.1801,201.1801,201.1801,17-01-2019
Umoja Fund,"217,711,485,869.4700","382,853,610.1900",568.6547,568.6547,562.9681,16-01-2019
Wekeza Maisha Fund,"1,192,334,934.2200","3,143,743.7200",379.2723,379.2723,371.6869,16-01-2019
Watoto Fund,"3,138,420,041.8800","9,483,406.2900",330.9381,330.9381,327.6287,16-01-2019
Jikimu Fund,"20,006,902,745.9200","158,834,957.1800",125.9603,125.9603,123.4411,16-01-2019
Liquid Fund,"38,794,895,147.2400","192,910,369.1500",201.1032,201.1032,201.1032,16-01-2019
Umoja Fund,"217,663,864,766.1700","382,833,164.0900",568.5606,568.5606,562.875,15-01-2019
Wekeza Maisha Fund,"1,191,524,461.3200","3,142,435.8000",379.1723,379.1723,371.5888,15-01-2019
Watoto Fund,"3,136,360,363.2300","9,479,118.4200",330.8705,330.8705,327.5618,15-01-2019
Jikimu Fund,"19,997,213,635.9000","158,802,811.7200",125.9248,125.9248,123.4063,15-01-2019
Liquid Fund,"38,665,377,808.3500","192,340,056.2900",201.0261,201.0261,201.0261,15-01-2019
Umoja Fund,"217,470,754,340.0300","383,074,693.6100",567.698,567.698,562.0211,14-01-2019
Wekeza Maisha Fund,"1,194,088,090.1800","3,150,042.9600",379.0704,379.0704,371.489,14-01-2019
Watoto Fund,"3,138,067,047.8600","9,498,591.4500",330.3718,330.3718,327.0681,14-01-2019
Jikimu Fund,"20,007,903,718.5500","159,024,557.4400",125.8164,125.8164,123.3001,14-01-2019
Liquid Fund,"38,650,414,349.3800","192,340,056.2900",200.9483,200.9483,200.9483,14-01-2019
Umoja Fund,"217,371,010,760.5400","383,070,396.4500",567.444,567.444,561.7696,11-01-2019
Wekeza Maisha Fund,"1,193,139,125.8100","3,150,042.9600",378.7692,378.7692,371.1938,11-01-2019
Watoto Fund,"3,135,733,389.3200","9,497,364.9800",330.1688,330.1688,326.8671,11-01-2019
Jikimu Fund,"19,988,467,650.8800","159,006,062.3000",125.7088,125.7088,123.1947,11-01-2019
Liquid Fund,"38,589,042,247.6200","192,315,008.7600",200.6554,200.6554,200.6554,11-01-2019
Umoja Fund,"217,413,029,023.8500","383,068,475.3000",567.5566,567.5566,561.881,10-01-2019
Wekeza Maisha Fund,"1,193,043,489.4800","3,150,625.6600",378.6688,378.6688,371.0954,10-01-2019
Watoto Fund,"3,136,929,795.0300","9,497,851.1000",330.2778,330.2778,326.9751,10-01-2019
Jikimu Fund,"20,020,254,948.8100","159,258,443.0600",125.7092,125.7092,123.195,10-01-2019
Liquid Fund,"38,462,431,813.6600","191,756,895.5900",200.5791,200.5791,200.5791,10-01-2019
Umoja Fund,"217,369,489,357.7500","383,057,698.9500",567.4589,567.4589,561.7843,09-01-2019
Wekeza Maisha Fund,"1,192,727,359.7900","3,150,625.6600",378.5684,378.5684,370.997,09-01-2019
Watoto Fund,"3,132,699,416.6800","9,486,990.0800",330.21,330.21,326.9079,09-01-2019
Jikimu Fund,"19,854,938,927.7200","157,988,979.1600",125.6729,125.6729,123.1595,09-01-2019
Liquid Fund,"38,315,798,871.9300","191,098,550.6700",200.5028,200.5028,200.5028,09-01-2019
Umoja Fund,"217,636,565,079.6700","383,593,713.8500",567.3622,567.3622,561.6886,08-01-2019
Wekeza Maisha Fund,"1,193,024,397.4300","3,152,245.8500",378.4681,378.4681,370.8987,08-01-2019
Watoto Fund,"3,133,530,807.5900","9,491,437.0400",330.1429,330.1429,326.8415,08-01-2019
Jikimu Fund,"19,849,235,292.1500","157,987,387.2800",125.6381,125.6381,123.1253,08-01-2019
Liquid Fund,"38,276,312,159.6000","190,990,502.3400",200.4095,200.4095,200.4095,08-01-2019
Umoja Fund,"218,817,450,839.9100","383,587,877.0400",570.4493,570.4493,564.7448,07-01-2019
Wekeza Maisha Fund,"1,192,631,096.0800","3,152,140.1300",378.356,378.356,370.7889,07-01-2019
Watoto Fund,"3,148,252,500.2100","9,488,558.7500",331.7946,331.7946,328.4766,07-01-2019
Jikimu Fund,"19,851,702,280.0300","157,687,211.5000",125.8929,125.8929,123.3751,07-01-2019
Liquid Fund,"38,331,110,071.2000","191,326,846.1300",200.3436,200.3436,200.3436,07-01-2019
Umoja Fund,"218,696,759,650.3400","383,572,753.9000",570.1572,570.1572,564.4556,04-01-2019
Wekeza Maisha Fund,"1,191,646,823.4300","3,151,743.4000",378.0913,378.0913,370.5295,04-01-2019
Watoto Fund,"3,146,067,227.9000","9,487,742.9800",331.5928,331.5928,328.2769,04-01-2019
Jikimu Fund,"19,831,740,470.8300","157,662,640.3800",125.7859,125.7859,123.2702,04-01-2019
Liquid Fund,"38,281,179,567.1500","191,266,889.7200",200.1454,200.1454,200.1454,04-01-2019
Umoja Fund,"218,774,001,513.9900","383,773,868.8800",570.0597,570.0597,564.3591,03-01-2019
Wekeza Maisha Fund,"1,194,995,366.4300","3,161,444.5700",377.9903,377.9903,370.4305,03-01-2019
Watoto Fund,"3,151,106,454.5400","9,504,865.8800",331.5256,331.5256,328.2104,03-01-2019
Jikimu Fund,"19,795,623,109.8900","157,420,135.8800",125.7503,125.7503,123.2353,03-01-2019
Liquid Fund,"38,332,118,592.5300","191,584,830.4100",200.0791,200.0791,200.0791,03-01-2019
Umoja Fund,"218,732,858,556.5600","383,767,344.6200",569.9621,569.9621,564.2625,02-01-2019
Wekeza Maisha Fund,"1,194,580,039.6700","3,161,179.9400",377.8906,377.8906,370.3327,02-01-2019
Watoto Fund,"3,149,735,642.1200","9,502,664.5700",331.4582,331.4582,328.1436,02-01-2019
Jikimu Fund,"19,806,015,508.0400","157,547,327.9200",125.7147,125.7147,123.2004,02-01-2019
Liquid Fund,"38,236,454,980.2300","191,169,857.3800",200.013,200.013,200.013,02-01-2019
Umoja Fund,"218,809,273,126.2800","383,761,069.6600",570.1706,570.1706,564.4689,31-12-2018
Wekeza Maisha Fund,"1,193,824,365.5900","3,160,848.9800",377.691,377.691,370.1372,31-12-2018
Watoto Fund,"3,154,304,186.2900","9,501,007.9300",331.9968,331.9968,328.6768,31-12-2018
Jikimu Fund,"20,280,455,086.3800","157,523,070.8300",128.7459,128.7459,126.171,31-12-2018
Liquid Fund,"38,230,536,377.4800","191,267,066.3400",199.8804,199.8804,199.8804,31-12-2018
Umoja Fund,"218,693,389,704.3200","383,754,973.3000",569.8777,569.8777,564.1789,28-12-2018
Wekeza Maisha Fund,"1,192,878,276.5300","3,160,848.9800",377.3917,377.3917,369.8439,28-12-2018
Watoto Fund,"3,151,174,156.6300","9,497,364.0600",331.7946,331.7946,328.4767,28-12-2018
Jikimu Fund,"157,508,443.3400","20,261,779,035.9600",128.6393,128.6393,126.0665,28-12-2018
Liquid Fund,"37,918,682,515.9900","189,894,872.1300",199.6825,199.6825,199.6825,28-12-2018
Umoja Fund,"218,706,067,106.8500","383,840,942.0600",569.7831,569.7831,564.0852,27-12-2018
Wekeza Maisha Fund,"1,197,127,657.9900","3,172,950.7200",377.2916,377.2916,369.7458,27-12-2018
Watoto Fund,"3,168,340,399.8600","9,551,116.5900",331.7246,331.7246,328.4074,27-12-2018
Jikimu Fund,"20,271,169,916.4800","157,624,859.0000",128.6039,128.6039,126.0318,27-12-2018
Liquid Fund,"37,972,148,192.9300","190,226,098.0600",199.6159,199.6159,199.6159,27-12-2018
Umoja Fund,"218,676,851,901.9000","383,986,786.3600",569.4906,569.4906,563.7957,24-12-2018
Wekeza Maisha Fund,"1,196,182,247.7400","3,172,950.7200",376.9936,376.9936,369.4538,24-12-2018
Watoto Fund,"3,165,573,519.8500","9,548,552.5500",331.5239,331.5239,328.2087,24-12-2018
Jikimu Fund,"20,152,044,848.4300","156,826,089.2200",128.4993,128.4993,125.9293,24-12-2018
Liquid Fund,"37,889,075,151.7800","189,999,437.1200",199.4168,199.4168,199.4168,24-12-2018
Umoja Fund,"218,567,677,434.1400","383,992,890.3500",569.1972,569.1972,563.5052,21-12-2018
Wekeza Maisha Fund,"1,195,012,654.4800","3,172,499.4100",376.6786,376.6786,369.145,21-12-2018
Watoto Fund,"3,163,554,425.0600","9,548,250.7300",331.3229,331.3229,328.0097,21-12-2018
Jikimu Fund,"20,119,666,072.9200","156,703,419.2700",128.3933,128.3933,125.8254,21-12-2018
Liquid Fund,"38,098,602,530.2400","191,241,801.6000",199.2169,199.2169,199.2169,21-12-2018
Umoja Fund,"218,526,728,332.0500","383,986,822.5500",569.0996,569.0996,563.4086,20-12-2018
Wekeza Maisha Fund,"1,194,698,978.3800","3,172,499.4100",376.5797,376.5797,369.0481,20-12-2018
Watoto Fund,"3,160,445,108.1600","9,540,794.1700",331.256,331.256,327.9434,20-12-2018
Jikimu Fund,"20,113,822,028.8200","156,701,082.0500",128.3579,128.3579,125.7907,20-12-2018
Jikimu Fund,"37,750,146,571.7600","189,555,376.7000",199.151,199.151,199.151,20-12-2018
Umoja Fund,"218,483,395,278.4000","383,976,567.6300",569.0019,569.0019,563.3119,19-12-2018
Wekeza Maisha Fund,"1,194,385,280.7900","3,172,499.4100",376.4809,376.4809,368.9512,19-12-2018
Watoto Fund,"3,155,029,991.4500","9,526,376.3800",331.1889,331.1889,327.877,19-12-2018
Jikimu Fund,"20,108,389,414.0800","156,701,082.0500",128.3232,128.3232,125.7568,19-12-2018
Liquid Fund,"37,678,645,090.3300","189,264,032.6700",199.0798,199.0798,199.0798,19-12-2018
Umoja Fund,"218,577,998,108.5500","384,194,538.8500",568.9253,568.9253,563.2361,18-12-2018
Wekeza Maisha Fund,"1,194,181,561.7200","3,173,163.7100",376.3378,376.3378,368.8111,18-12-2018
Watoto Fund,"3,157,798,613.8800","9,536,984.5600",331.1108,331.1108,327.7997,18-12-2018
Jikimu Fund,"20,122,950,074.3700","156,856,939.5600",128.2886,128.2886,125.7228,18-12-2018
Liquid Fund,"37,610,581,340.5400","188,993,218.6300",199.0049,199.0049,199.0049,18-12-2018
Umoja Fund,"218,533,571,497.2500","384,182,336.2600",568.8277,568.8277,563.1395,17-12-2018
Wekeza Maisha Fund,"1,193,852,742.3900","3,173,123.8400",376.2389,376.2389,368.7142,17-12-2018
Watoto Fund,"3,155,958,911.9500","9,533,359.3000",331.0437,331.0437,327.7333,17-12-2018
Jikimu Fund,"20,117,649,452.6600","156,857,817.0300",128.254,128.254,125.689,17-12-2018
Liquid Fund,"37,517,491,976.5000","188,588,464.7900",198.9384,198.9384,198.9384,17-12-2018
Umoja Fund,"218,414,274,357.0300","384,170,475.9000",568.5348,568.5348,562.8494,14-12-2018
Wekeza Maisha Fund,"1,192,911,152.3500","3,173,123.8400",375.9422,375.9422,368.4234,14-12-2018
Watoto Fund,"3,153,468,035.5900","9,531,642.4500",330.842,330.842,327.5336,14-12-2018
Jikimu Fund,"20,100,407,628.9700","156,850,013.7100",128.1505,128.1505,125.5875,14-12-2018
Liquid Fund,"37,438,352,052.2200","188,379,145.4500",198.7394,198.7394,198.7394,14-12-2018
Umoja Fund,"218,375,451,355.8300","384,168,191.5300",568.4371,568.4371,562.7527,13-12-2018
Wekeza Maisha Fund,"1,192,597,246.0100","3,173,123.8400",375.8433,375.8433,368.3264,13-12-2018
Watoto Fund,"3,152,818,991.9000","9,531,618.2600",330.7748,330.7748,327.467,13-12-2018
Jikimu Fund,"20,090,249,804.6300","156,812,862.5900",128.1161,128.1161,125.5538,13-12-2018
Liquid Fund,"37,205,170,611.1000","187,268,275.3800",198.6731,198.6731,198.6731,13-12-2018
Umoja Fund,"218,346,964,427.9000","384,184,107.3100",568.3394,568.3394,562.656,12-12-2018
Wekeza Maisha Fund,"1,192,240,324.8400","3,173,009.6200",375.7443,375.7443,368.2294,12-12-2018
Watoto Fund,"3,151,773,987.9900","9,530,393.6100",330.7076,330.7076,327.4006,12-12-2018
Jikimu Fund,"20,084,286,320.5400","156,808,568.4500",128.0816,128.0816,125.5199,12-12-2018
Liquid Fund,"37,184,884,458.7000","187,229,039.2500",198.6064,198.6064,198.6064,12-12-2018
Umoja Fund,"218,450,049,113.5800","384,431,460.4500",568.2419,568.2419,562.5594,11-12-2018
Wekeza Maisha Fund,"1,193,135,995.1700","3,176,235.4500",375.6447,375.6447,368.1318,11-12-2018
Watoto Fund,"3,154,117,181.2000","9,539,940.9600",330.6223,330.6223,327.3161,11-12-2018
Jikimu Fund,"20,086,505,622.8500","156,868,370.7000",128.0469,128.0469,125.4859,11-12-2018
Liquid Fund,"36,841,195,202.6800","185,560,617.5500",198.5399,198.5399,198.5399,11-12-2018
Umoja Fund,"218,738,853,959.6600","384,468,720.6700",568.938,568.938,563.2486,10-12-2018
Wekeza Maisha Fund,"1,192,820,757.9300","3,176,235.4500",375.5454,375.5454,368.0345,10-12-2018
Watoto Fund,"3,157,065,573.3500","9,538,460.4300",330.9827,330.9827,327.6729,10-12-2018
Jikimu Fund,"20,029,112,051.3200","156,484,603.6700",127.9941,127.9941,125.4343,10-12-2018
Liquid Fund,"36,686,193,388.4700","184,842,127.2400",198.4731,198.4731,198.4731,10-12-2018
Umoja Fund,"218,624,718,720.8500","384,463,845.1900",568.6483,568.6483,562.9618,07-12-2018
Wekeza Maisha Fund,"1,191,880,095.0800","3,176,235.4500",375.2493,375.2493,367.7443,07-12-2018
Watoto Fund,"3,153,815,423.0800","9,534,363.7200",330.784,330.784,327.4762,07-12-2018
Jikimu Fund,"20,031,880,951.6300","156,641,323.2100",127.8838,127.8838,125.3261,07-12-2018
Liquid Fund,"36,581,247,556.2300","184,497,758.7400",198.2748,198.2748,198.2748,07-12-2018
Umoja Fund,"218,709,807,391.5800","384,680,619.9600",568.5491,568.5491,562.8636,06-12-2018
Wekeza Maisha Fund,"1,198,768,882.9200","3,194,948.5500",375.2076,375.2076,367.7034,06-12-2018
Watoto Fund,"3,152,789,708.2100","9,533,200.5800",330.7168,330.7168,327.4096,06-12-2018
Jikimu Fund,"20,069,101,557.1200","156,975,860.4600",127.8483,127.8483,125.2914,06-12-2018
Liquid Fund,"36,542,169,239.1700","184,362,261.3200",198.2085,198.2085,198.2085,06-12-2018
Umoja Fund,"218,660,855,459.5000","384,675,943.5400",568.4287,568.4287,562.7444,05-12-2018
Wekeza Maisha Fund,"1,198,452,391.7600","3,194,948.5500",375.1085,375.1085,367.6063,05-12-2018
Watoto Fund,"3,150,837,490.2600","9,532,474.3500",330.5372,330.5372,327.2318,05-12-2018
Jikimu Fund,"20,039,001,053.7100","156,916,738.6700",127.7047,127.7047,125.1506,05-12-2018
Liquid Fund,"35,512,562,957.2900","179,431,358.7600",197.9173,197.9173,197.9173,05-12-2018
Umoja Fund,"218,598,448,190.1900","384,632,849.0900",568.3302,568.3302,562.6469,04-12-2018
Wekeza Maisha Fund,"1,198,035,878.9300","3,194,681.8200",375.0095,375.0095,367.5093,04-12-2018
Watoto Fund,"3,149,582,170.3300","9,530,613.3300",330.47,330.47,327.1653,04-12-2018
Jikimu Fund,"20,037,005,446.7600","156,941,874.0400",127.6715,127.6715,125.1181,04-12-2018
Liquid Fund,"35,412,805,401.2400","178,986,382.1400",197.852,197.852,197.852,04-12-2018
Umoja Fund,"219,833,520,027.9200","386,876,981.7000",568.2259,568.2259,562.5436,03-12-2018
Wekeza Maisha Fund,"1,197,831,444.9300","3,194,978.3500",374.9107,374.9107,367.4124,03-12-2018
Watoto Fund,"3,152,297,217.6900","9,540,780.4100",330.4024,330.4024,327.0984,03-12-2018
Jikimu Fund,"20,112,568,433.3800","157,575,648.7900",127.6375,127.6375,125.0848,03-12-2018
Liquid Fund,"36,282,780,724.8600","183,445,389.9500",197.7852,197.7852,197.7852,03-12-2018
Umoja Fund,"219,710,302,622.3400","386,858,821.2200",567.9341,567.9341,562.2547,30-11-2018
Wekeza Maisha Fund,"1,196,600,619.7300","3,194,230.7200",374.6131,374.6131,367.1208,30-11-2018
Watoto Fund,"3,147,119,519.5700","9,530,936.3500",330.2005,330.2005,326.8985,30-11-2018
Jikimu Fund,"20,095,673,276.9700","157,565,775.8000",127.5383,127.5383,124.9875,30-11-2018
Liquid Fund,"36,018,429,705.6200","182,287,014.2400",197.5919,197.5919,197.5919,30-11-2018
Umoja Fund,"219,670,089,338.3800","386,842,514.9100",567.8541,567.8541,562.1755,29-11-2018
Wekeza Maisha Fund,"1,198,141,253.1800","3,199,196.4200",374.5132,374.5132,367.0229,29-11-2018
Watoto Fund,"3,145,981,882.1800","9,529,436.9500",330.133,330.133,326.8317,29-11-2018
Jikimu Fund,"20,088,254,545.3100","157,548,458.8600",127.5052,127.5052,124.9551,29-11-2018
Liquid Fund,"35,820,654,286.3300","181,345,390.9400",197.5272,197.5272,197.5272,29-11-2018
Umoja Fund,"219,630,354,995.5900","386,839,510.4300",567.7557,567.7557,562.0782,28-11-2018
Wekeza Maisha Fund,"1,197,779,335.4400","3,199,076.2000",374.4141,374.4141,366.9258,28-11-2018
Watoto Fund,"3,144,179,339.4800","9,525,922.2200",330.0656,330.0656,326.765,28-11-2018
Jikimu Fund,"20,074,768,422.6300","157,483,608.0700",127.4721,127.4721,124.9227,28-11-2018
Liquid Fund,"35,607,490,772.1400","180,325,600.8200",197.4622,197.4622,197.4622,28-11-2018
Umoja Fund,"219,361,286,731.1500","386,970,712.7600",566.8679,566.8679,561.1993,27-11-2018
Wekeza Maisha Fund,"1,208,345,182.4000","3,228,184.3100",374.3111,374.3111,366.8249,27-11-2018
Watoto Fund,"3,152,562,743.5400","9,565,736.2900",329.5682,329.5682,326.2725,27-11-2018
Jikimu Fund,"20,094,354,298.5700","157,769,269.5300",127.3655,127.3655,124.8181,27-11-2018
Liquid Fund,"35,784,154,503.3000","181,280,859.2800",197.3962,197.3962,197.3962,27-11-2018
Umoja Fund,"219,316,283,578.9100","386,965,181.3100",566.7597,566.7597,561.0921,26-11-2018
Wekeza Maisha Fund,"1,208,032,598.2100","3,228,184.3100",374.2143,374.2143,366.73,26-11-2018
Watoto Fund,"3,148,922,021.4100","9,556,631.6200",329.5012,329.5012,326.2062,26-11-2018
Jikimu Fund,"20,088,288,365.3500","157,759,844.3100",127.3346,127.3346,124.7879,26-11-2018
Liquid Fund,"35,708,353,309.1300","180,956,531.2800",197.3311,197.3311,197.3311,26-11-2018
Umoja Fund,"219,260,482,874.5700","387,048,584.4700",566.4934,566.4934,560.8285,23-11-2018
Wekeza Maisha Fund,"1,207,433,636.7000","3,229,096.7900",373.923,373.923,366.4446,23-11-2018
